,amenity,longitude,latitude
0,courthouse,-93.5262966,44.79504
1,library,-93.5244823,44.7970542
2,police,-93.5263889,44.795
3,police,-93.5113889,44.7963889
4,bank,-93.5092946,44.7798805
5,fast_food,-93.5089805,44.7819171
6,restaurant,-93.5092294,44.7817587
7,post_office,-93.5099205,44.7809091
8,fast_food,-93.509922,44.7809765
9,veterinary,-93.5099358,44.7806977
10,school,-93.4327632,44.7655792
11,fuel,-93.4128645,44.771412
12,parking,-93.4030385,44.79208
13,restaurant,-93.4155234,44.774977
14,restaurant,-93.4155776,44.7750182
15,post_office,-93.4159029,44.7752651
16,fast_food,-93.4159571,44.7753063
17,fast_food,-93.414994,44.7749996
18,dentist,-93.4147341,44.7752897
19,restaurant,-93.4145563,44.775476
20,restaurant,-93.4146008,44.7754294
21,restaurant,-93.4144675,44.7755692
22,ice_cream,-93.4145119,44.7755226
23,post_box,-93.4148497,44.7815231
24,dentist,-93.4145255,44.7819075
25,bank,-93.4142615,44.781926
26,restaurant,-93.5065566,44.7795633
27,parking,-93.4784536,44.7834713
28,casino,-93.4832952,44.7902772
29,fast_food,-93.5093705,44.7993425
30,restaurant,-93.5068876,44.7957954
31,car_rental,-93.508665,44.7788943
32,post_box,-93.5262496,44.7987683
33,dojo,-93.5251137,44.7989313
34,fast_food,-93.5257103,44.7988647
35,fast_food,-93.5086166,44.7947213
36,bar,-93.5259403,44.7985319
37,fast_food,-93.5245063,44.7987239
38,bank,-93.5262413,44.7988347
39,restaurant,-93.5086146,44.7949174
40,parking,-93.5392717,44.785332
41,parking,-93.4938713,44.8029736
42,vending_machine,-93.4164956,44.775798
43,place_of_worship,-93.5138672,44.790379
44,parking,-93.502664,44.8019806
45,parking,-93.5016619,44.8020925
46,parking,-93.4982762,44.8029575
47,parking,-93.4385634,44.7664084
48,fast_food,-93.414292,44.7759381
49,parking,-93.544701,44.7923177
50,restaurant,-93.5069738,44.7795615
51,fast_food,-93.5073935,44.782545
52,cafe,-93.5067988,44.7825067
53,toilets,-93.5389968,44.7838069
54,clock,-93.525381,44.7989416
55,cafe,-93.5275758,44.7982582
56,restaurant,-93.5254729,44.798605
57,theatre,-93.4100861,44.7769094
58,cafe,-93.412163,44.77663
59,bench,-93.4385033,44.7795681
60,parking,-93.4524851,44.7879291
61,restaurant,-93.5383469,44.7788274
62,pharmacy,-93.5379849,44.7783022
63,car_wash,-93.4693562,44.7853719
64,toilets,-93.5179585,44.7932561
65,shelter,-93.5180658,44.7932561
66,shelter,-93.5337591,44.7942188
67,toilets,-93.5337992,44.7943083
68,shelter,-93.5254725,44.7871063
69,toilets,-93.5253947,44.7871158
70,shelter,-93.538982,44.7844157
71,shelter,-93.5428499,44.7791578
72,shelter,-93.4973027,44.8030569
73,toilets,-93.4998997,44.8023561
74,shelter,-93.5226892,44.8001212
75,shelter,-93.5444083,44.792653
76,toilets,-93.5219033,44.7999353
77,shelter,-93.5221194,44.8003028
78,shelter,-93.4794963,44.7677497
79,toilets,-93.479322,44.7677364
80,shelter,-93.4205254,44.7701066
81,toilets,-93.4204852,44.7701885
82,toilets,-93.4993098,44.7834869
83,shelter,-93.4991892,44.7834638
84,shelter,-93.4855413,44.8037948
85,drinking_water,-93.4852919,44.8035379
86,toilets,-93.4851952,44.8035375
87,toilets,-93.4785585,44.8027557
88,fountain,-93.4529661,44.7975767
89,cafe,-93.4541542,44.7986189
90,atm,-93.4602421,44.7991788
91,atm,-93.453453,44.7988048
92,atm,-93.4602166,44.8002589
93,atm,-93.4563994,44.8001674
94,atm,-93.4541526,44.7986602
95,atm,-93.4554035,44.7984151
96,atm,-93.4572831,44.7985994
97,toilets,-93.4599655,44.8003806
98,locker,-93.4607522,44.8004436
99,toilets,-93.49931,44.7834542
100,veterinary,-93.5197834,44.799272
101,fast_food,-93.4686499,44.786134
102,restaurant,-93.4688061,44.7861408
103,toilets,-93.5439932,44.7784518
104,toilets,-93.5440492,44.7784548
105,toilets,-93.5429741,44.7791354
106,toilets,-93.5427384,44.7791405
107,dojo,-93.5063062,44.7795642
108,school,-93.5535553,44.7854722
109,ice_cream,-93.5544047,44.784367
110,school,-93.5545419,44.7838685
111,childcare,-93.5550014,44.7833963
112,school,-93.5551029,44.7833223
113,public_bookcase,-93.514423,44.7918738
114,public_bookcase,-93.5136515,44.790214
115,public_bookcase,-93.530786,44.7878673
116,public_bookcase,-93.524857,44.7936499
117,public_bookcase,-93.5255492,44.7933469
118,public_bookcase,-93.5119569,44.7852974
119,public_bookcase,-93.4971318,44.7808561
120,public_bookcase,-93.5304416,44.7731853
121,place_of_worship,-93.5020656,44.7804622
122,arts_centre,-93.5184109,44.7988574
123,dentist,-93.5134251,44.7999264
124,dentist,-93.5008268,44.7740461
125,restaurant,-93.5020909,44.7742558
126,bar,-93.5267785,44.7979434
127,events_venue,-93.5254222,44.7983727
128,marketplace,-93.5316957,44.7982645
129,bench,-93.4282762,44.7694856
130,bench,-93.4247357,44.7696827
131,bench,-93.4262994,44.7688324
132,bank,-93.5086896,44.7948615
133,photo_booth,-93.4601606,44.8003012
134,loading_dock,-93.4565354,44.7869695
135,loading_dock,-93.4564493,44.7861834
136,loading_dock,-93.456604,44.7876286
137,loading_dock,-93.4572356,44.788168
138,restaurant,-93.48489,44.78602
139,fast_food,-93.4144585,44.7760395
140,fuel,-93.4163183,44.7755624
141,restaurant,-93.4138587,44.7811589
142,restaurant,-93.5085009,44.7965956
143,bicycle_parking,-93.5262857,44.7987068
144,bicycle_repair_station,-93.5257826,44.7996932
