,amenity,longitude,latitude
0,toilets,-88.0895116,43.6976127
1,parking,-88.1365944,43.6633051
2,parking,-88.0769207,43.7034554
3,place_of_worship,-87.9141878,43.6387167
4,school,-87.7998301,43.6703243
5,school,-87.7406419,43.7027735
6,school,-87.9605959,43.5525184
7,school,-87.9664811,43.5861083
8,school,-87.7869431,43.6246239
9,school,-87.7914767,43.622497
10,school,-87.7887188,43.6247054
11,school,-87.7998102,43.6674961
12,school,-87.7156413,43.71694
13,school,-88.0534274,43.5941633
14,grave_yard,-88.1445403,43.601107
15,grave_yard,-88.0478718,43.6002743
16,grave_yard,-88.0467607,43.6002744
17,toilets,-88.0977235,43.7022754
18,drinking_water,-88.0893274,43.6974646
19,post_office,-87.8089668,43.6232286
20,fuel,-87.8004482,43.6228947
21,bank,-87.7969292,43.6229024
22,place_of_worship,-87.8254572,43.6537045
23,fast_food,-87.7575455,43.7161672
24,restaurant,-87.7598201,43.7152289
25,restaurant,-87.7634571,43.7168652
26,fast_food,-87.7641867,43.716803
27,fast_food,-87.7592373,43.716959
28,fuel,-87.7587538,43.716995
29,restaurant,-87.9533105,43.6762567
30,place_of_worship,-87.9498344,43.6778862
31,fire_station,-87.9526668,43.6757291
32,post_box,-87.9532247,43.6754342
33,restaurant,-87.9386334,43.68189
34,post_office,-87.9168739,43.6406494
35,bench,-87.8000088,43.5828351
36,bench,-87.7999645,43.5828749
37,restaurant,-87.7980019,43.6231826
38,pharmacy,-87.7548248,43.7145615
39,fuel,-87.7212545,43.7011285
40,fuel,-87.7572036,43.7172273
41,shelter,-87.7256396,43.655946
42,sanitary_dump_station,-87.7261895,43.6584532
43,toilets,-87.7261037,43.6576265
44,toilets,-87.7233303,43.6566058
45,shelter,-87.7257979,43.6541568
46,drinking_water,-87.7259659,43.6535202
47,bank,-87.7536765,43.7172217
48,veterinary,-87.821722,43.5574288
49,bench,-87.7271833,43.6530164
50,toilets,-87.7241225,43.6568929
51,bench,-87.7162727,43.6693677
52,bench,-87.7167493,43.6667256
53,bench,-87.7281313,43.6520536
54,bench,-87.7274696,43.6509856
55,drinking_water,-87.7255418,43.654402
56,bench,-87.7214921,43.6613599
57,bench,-87.7203876,43.662273
