,amenity,longitude,latitude
0,school,-94.5429963,36.1759143
1,school,-94.5432741,36.1773032
2,post_office,-94.5402184,36.1867476
3,school,-94.5433827,36.1758972
4,school,-94.5441467,36.1768323
5,grave_yard,-94.538963,36.1885228
6,restaurant,-94.554628,36.1752224
7,fast_food,-94.5400891,36.1731622
8,restaurant,-94.5418517,36.1775935
9,restaurant,-94.5442208,36.1731765
10,restaurant,-94.5441359,36.1731761
11,restaurant,-94.5511201,36.1783404
12,cafe,-94.5404972,36.185823
13,ice_cream,-94.5408676,36.1853638
14,fast_food,-94.5407816,36.1731623
15,restaurant,-94.5213107,36.1748096
16,restaurant,-94.5421669,36.1735543
17,restaurant,-94.5418044,36.1732301
18,school,-94.5434516,36.1988461
19,parking,-94.5226871,36.191484
20,bar,-94.5410551,36.1840224
21,restaurant,-94.5189166,36.1818584
22,restaurant,-94.521152,36.1752244
23,atm,-94.5413566,36.1864914
24,fast_food,-94.5412639,36.1843173
25,fast_food,-94.5413476,36.1843545
26,bicycle_repair_station,-94.5610575,36.1919128
27,parking,-94.5349882,36.2226249
28,waste_basket,-94.5356183,36.2227098
29,bench,-94.5356386,36.2227081
30,waste_basket,-94.5346731,36.2228459
31,bench,-94.5323496,36.2236862
32,parking,-94.5397316,36.2225485
33,post_office,-94.5417506,36.1738276
34,fast_food,-94.549862,36.1740888
35,fuel,-94.557564,36.1759713
36,toilets,-94.5619936,36.1760525
37,fuel,-94.5418543,36.1727485
38,fuel,-94.5465562,36.1732249
39,fast_food,-94.4984628,36.1814185
40,fuel,-94.4977051,36.1812345
41,cafe,-94.5071559,36.1813029
42,dentist,-94.5069937,36.1813005
43,fast_food,-94.5114467,36.1805891
44,fast_food,-94.511014,36.180581
45,restaurant,-94.5118893,36.1802399
46,restaurant,-94.5122172,36.1802439
47,fast_food,-94.5149732,36.1806705
48,fuel,-94.5128567,36.1815262
49,fuel,-94.5150994,36.1814158
50,dentist,-94.5049282,36.180354
