,amenity,longitude,latitude
0,school,-96.7603289,43.5596974
1,school,-96.7475508,43.5483084
2,school,-96.7046858,43.5489564
3,school,-96.7171742,43.5410904
4,school,-96.7469952,43.5266419
5,place_of_worship,-96.684376,43.5259773
6,school,-96.7106051,43.5552527
7,school,-96.7217165,43.5166419
8,school,-96.7569029,43.5398946
9,school,-96.7339392,43.5541417
10,school,-96.7128274,43.5296973
11,school,-96.7020467,43.5517908
12,school,-96.7079578,43.5286845
13,school,-96.7324429,43.5450917
14,place_of_worship,-96.7102057,43.5820931
15,school,-96.7179932,43.5249504
16,school,-96.7643705,43.4904555
17,school,-96.680854,43.5378043
18,school,-96.7105687,43.5490251
19,school,-96.659737,43.4897443
20,place_of_worship,-96.7854162,43.5141181
21,school,-96.6822707,43.5144195
22,school,-96.7146905,43.5518919
23,school,-96.7531064,43.5244196
24,place_of_worship,-96.7682564,43.479655
25,pharmacy,-96.7070461,43.4996151
26,restaurant,-96.77445,43.5265244
27,fuel,-96.7315469,43.515095
28,fast_food,-96.731835,43.515261
29,fast_food,-96.7772836,43.5117011
30,fast_food,-96.7010361,43.5463593
31,bank,-96.7108332,43.5286494
32,fuel,-96.7127001,43.6039122
33,fast_food,-96.710803,43.6041068
34,fuel,-96.7108932,43.6035489
35,fast_food,-96.7106151,43.6026692
36,fast_food,-96.7123605,43.6008764
37,fast_food,-96.7769322,43.5114706
38,fast_food,-96.7769349,43.5117371
39,fast_food,-96.7771281,43.5106186
40,fast_food,-96.7769295,43.511527
41,fast_food,-96.7769295,43.5116048
42,social_facility,-96.7280941,43.5501442
43,studio,-96.729339,43.5506887
44,theatre,-96.7271321,43.5504283
45,doctors,-96.7421675,43.5336289
46,pharmacy,-96.7284288,43.5178671
47,pharmacy,-96.7732535,43.5170425
48,fuel,-96.77147,43.5081102
49,pharmacy,-96.7900124,43.5275693
50,pharmacy,-96.7098468,43.5460522
51,pharmacy,-96.68841,43.5477859
52,pharmacy,-96.6723704,43.5415297
53,pharmacy,-96.6720859,43.5425601
54,pharmacy,-96.6592813,43.5415957
55,pharmacy,-96.7688817,43.5116232
56,pharmacy,-96.7738152,43.5086358
57,doctors,-96.726283,43.488922
58,pharmacy,-96.7685966,43.4887592
59,restaurant,-96.7648795,43.5140141
60,cafe,-96.7699039,43.5144267
61,place_of_worship,-96.6911248,43.5008521
62,fast_food,-96.7121475,43.6040831
63,school,-96.6735668,43.5537619
64,place_of_worship,-96.6807608,43.5071163
65,place_of_worship,-96.6823701,43.5053888
66,school,-96.6839264,43.5070043
67,nightclub,-96.7291685,43.5461734
68,bank,-96.7914423,43.5298524
69,fast_food,-96.7903376,43.5285961
70,fast_food,-96.7899122,43.5285976
71,fast_food,-96.7306681,43.5405889
