,amenity,longitude,latitude
0,school,-84.5360433,33.8917702
1,grave_yard,-84.5379878,33.8656598
2,school,-84.5066429,33.8912625
3,grave_yard,-84.5396544,33.8609377
4,grave_yard,-84.5085427,33.8901035
5,school,-84.4835419,33.8826036
6,grave_yard,-84.5410433,33.8478825
7,school,-84.5268763,33.8742707
8,place_of_worship,-84.5210429,33.8481603
9,hospital,-84.5130825,33.8579171
10,place_of_worship,-84.5063203,33.8409381
11,grave_yard,-84.5065981,33.8412159
12,post_office,-84.5281661,33.8729129
13,school,-84.5168,33.8441
14,school,-84.516,33.8821
15,fire_station,-84.5344693,33.8713145
16,fire_station,-84.4978965,33.8421557
17,fire_station,-84.5168629,33.8893478
18,library,-84.5173608,33.8855394
19,fast_food,-84.5282895,33.8732492
20,fast_food,-84.5284082,33.8728303
21,fast_food,-84.5292121,33.8743471
22,place_of_worship,-84.5271147,33.8706036
23,place_of_worship,-84.5271468,33.874866
24,place_of_worship,-84.5263154,33.8752001
25,place_of_worship,-84.5148302,33.88058
26,place_of_worship,-84.5161766,33.8820987
27,fast_food,-84.5147765,33.8842184
28,restaurant,-84.5151091,33.8842853
29,bar,-84.5148887,33.8837384
30,cafe,-84.5042073,33.8821543
31,restaurant,-84.528932,33.8725753
32,fast_food,-84.5290091,33.8726958
33,car_wash,-84.5297016,33.8735326
34,restaurant,-84.5151291,33.884847
35,drinking_water,-84.5178657,33.841888
36,drinking_water,-84.5178684,33.841888
37,toilets,-84.517914,33.8418792
38,veterinary,-84.4902691,33.9001823
39,atm,-84.5123824,33.8792116
40,atm,-84.528578,33.872069
41,restaurant,-84.5048493,33.8828094
42,restaurant,-84.4872325,33.8824623
43,atm,-84.5240068,33.8419882
44,post_box,-84.5159005,33.8849633
45,post_box,-84.5159142,33.884986
46,compressed_air,-84.5162503,33.8591948
47,fast_food,-84.4866299,33.8827457
48,restaurant,-84.4867081,33.882531
49,compressed_air,-84.4758646,33.8843966
50,restaurant,-84.4803222,33.8835623
51,restaurant,-84.4806621,33.8835469
52,restaurant,-84.4803857,33.8835303
53,restaurant,-84.4753501,33.8844349
54,atm,-84.4988601,33.8430145
55,atm,-84.4992756,33.843186
56,atm,-84.5028811,33.8432183
57,atm,-84.4993183,33.843327
58,atm,-84.4993446,33.8433489
59,atm,-84.5021685,33.8438214
60,veterinary,-84.4991413,33.8831817
61,restaurant,-84.5394964,33.8923933
62,atm,-84.4780161,33.8911266
63,restaurant,-84.4784168,33.8916208
64,atm,-84.5213488,33.8360299
65,atm,-84.5392777,33.8921219
66,place_of_worship,-84.5397076,33.8929356
67,animal_boarding,-84.4901572,33.9000233
68,restaurant,-84.5147305,33.883747
69,doctors,-84.5312014,33.844112
70,vending_machine,-84.479988,33.8827279
71,restaurant,-84.474157,33.8839245
72,vending_machine,-84.5394092,33.8950002
73,pharmacy,-84.4743641,33.8875684
74,compressed_air,-84.4900889,33.9008704
75,fast_food,-84.506428,33.881821
76,bench,-84.5142614,33.8852654
77,bench,-84.5142848,33.8853857
78,bench,-84.5142926,33.885311
79,bench,-84.514299,33.8853427
80,bench,-84.4865676,33.8836134
81,bench,-84.4864382,33.8835443
82,bench,-84.5358324,33.8515455
83,waste_disposal,-84.4889496,33.8891692
84,waste_disposal,-84.490746,33.8895428
85,waste_disposal,-84.4884677,33.8891773
86,restaurant,-84.4773451,33.8935372
87,pharmacy,-84.5118249,33.8815417
88,restaurant,-84.5008484,33.8832989
89,restaurant,-84.4763298,33.8934968
90,restaurant,-84.4771314,33.8935492
91,restaurant,-84.4774652,33.8935269
92,dentist,-84.4784952,33.8917357
93,fast_food,-84.4764693,33.8904521
94,restaurant,-84.4760153,33.8918352
95,dojo,-84.4782834,33.890626
96,fast_food,-84.4752217,33.884329
97,dentist,-84.4750577,33.8844326
98,waste_basket,-84.48663,33.8836111
99,bench,-84.4867148,33.8835805
100,waste_basket,-84.4864787,33.883577
101,bench,-84.5098832,33.839729
102,bench,-84.517899,33.841784
103,bench,-84.5098101,33.8397192
104,waste_basket,-84.509849,33.8397301
105,bicycle_repair_station,-84.5231139,33.8761475
106,bench,-84.535638,33.852691
107,bicycle_repair_station,-84.5351988,33.8520656
108,bench,-84.5266268,33.8759877
109,bench,-84.5262874,33.8762241
110,bench,-84.526063,33.8765209
111,bench,-84.5256941,33.8765264
112,bench,-84.5250523,33.8764347
113,bench,-84.5244003,33.8765246
114,bench,-84.5238309,33.876362
115,bench,-84.5235873,33.876435
116,bicycle_parking,-84.535195,33.8520699
117,drinking_water,-84.5352065,33.8520592
118,public_bookcase,-84.5069031,33.8749503
119,bank,-84.5213689,33.8359306
120,bicycle_repair_station,-84.5072021,33.8765355
121,fountain,-84.4957577,33.8946843
122,fountain,-84.4960238,33.8945161
123,parcel_locker,-84.475253,33.8907945
124,fast_food,-84.5125862,33.8807706
125,fast_food,-84.5127436,33.881055
126,dentist,-84.5126563,33.880927
127,bank,-84.5135758,33.8827282
128,parking_space,-84.5173687,33.8417548
129,bicycle_parking,-84.5177606,33.84183
130,bicycle_repair_station,-84.5023703,33.8018067
131,cafe,-84.5156715,33.8841116
132,atm,-84.5136932,33.8826779
133,post_box,-84.5171156,33.8787142
134,post_box,-84.5170886,33.8787379
135,recycling,-84.5297552,33.8691837
136,bicycle_repair_station,-84.5263791,33.8845369
137,vending_machine,-84.5314316,33.8693501
138,vending_machine,-84.5311269,33.8691423
139,bench,-84.5310477,33.8693098
140,bench,-84.5314306,33.8689028
141,bench,-84.5312846,33.8693638
142,vending_machine,-84.5312382,33.8688247
143,bench,-84.5310351,33.8692712
