,amenity,longitude,latitude
0,grave_yard,-86.4791595,35.9936744
1,grave_yard,-86.548883,35.9895076
2,grave_yard,-86.5116598,35.9675637
3,grave_yard,-86.5394383,35.9847855
4,school,-86.5491606,35.9281196
5,place_of_worship,-86.5499939,35.9264529
6,school,-86.5279342,35.9719106
7,school,-86.5227712,35.9717303
8,grave_yard,-86.575828,35.9689522
9,grave_yard,-86.6236069,35.9567299
10,grave_yard,-86.4808261,35.9961744
11,grave_yard,-86.5127709,35.9483972
12,grave_yard,-86.5380496,36.0150625
13,grave_yard,-86.5624501,35.9668922
14,grave_yard,-86.4788817,35.9931189
15,grave_yard,-86.5305491,35.9514527
16,grave_yard,-86.5013818,35.9711748
17,grave_yard,-86.5294379,35.9414528
18,grave_yard,-86.51166,35.9995077
19,grave_yard,-86.601662,35.9533967
20,grave_yard,-86.5820837,35.9624933
21,grave_yard,-86.4933261,35.9758969
22,grave_yard,-86.6124955,35.9539522
23,grave_yard,-86.6027731,35.9545078
24,grave_yard,-86.6052732,35.9514523
25,grave_yard,-86.5011041,35.9833969
26,grave_yard,-86.5008263,35.9903413
27,grave_yard,-86.503882,35.9967301
28,grave_yard,-86.4827706,35.988119
29,grave_yard,-86.4974928,35.9483973
30,grave_yard,-86.5936062,35.9553412
31,grave_yard,-86.4727705,35.9858967
32,grave_yard,-86.4702704,35.9636748
33,grave_yard,-86.4780482,35.9578416
34,grave_yard,-86.5227713,35.9783968
35,bench,-86.4870002,35.9968891
36,fast_food,-86.534472,35.9322973
37,fountain,-86.5203956,35.9769143
38,restaurant,-86.5347296,35.9315262
39,charging_station,-86.560779,35.9774562
40,atm,-86.5518772,35.983514
41,grave_yard,-86.5505796,35.960296
42,bbq,-86.4832312,36.0014157
43,bench,-86.4731018,36.0014443
44,bench,-86.4788368,36.0063015
45,bench,-86.5246158,35.9696967
46,bench,-86.5246142,35.9696679
47,fast_food,-86.4940502,35.9719545
48,fast_food,-86.4946318,35.9732193
49,fast_food,-86.4954851,35.9732627
50,fuel,-86.4920457,35.9738506
51,fuel,-86.493087,35.9738758
52,fast_food,-86.4951299,35.9683532
53,fast_food,-86.4953233,35.9681488
54,pharmacy,-86.4938166,35.9726618
55,fast_food,-86.493964,35.9721181
56,fast_food,-86.4919204,35.9747942
57,fast_food,-86.4919413,35.9742302
58,restaurant,-86.4929055,35.9743457
59,fountain,-86.567435,35.9756771
60,fountain,-86.5672641,35.9756323
61,fountain,-86.5670938,35.9755872
62,bench,-86.5671219,35.97552
63,bench,-86.5671876,35.9755358
64,bench,-86.5672265,35.9755439
65,bench,-86.5673563,35.9755749
66,bench,-86.5674016,35.9755846
67,bench,-86.5674665,35.9756021
68,bench,-86.5110884,35.9950485
69,bench,-86.5111415,35.9950575
70,bench,-86.5136327,35.995342
71,bench,-86.5136838,35.9953498
72,bench,-86.5058147,35.9965004
73,bench,-86.5053178,35.9967731
74,bench,-86.5061918,35.9999839
75,bench,-86.5061999,35.9999371
76,bench,-86.5061938,35.9998972
77,bench,-86.5061694,35.9999728
78,bench,-86.506176,35.9999408
79,bench,-86.5061669,35.9999038
80,bench,-86.5005269,36.0047805
81,bench,-86.5005254,36.0047468
82,bench,-86.5005296,36.004716
83,bench,-86.5000742,36.0060338
84,bench,-86.5065958,36.0045984
85,fast_food,-86.4951043,35.9692781
86,fast_food,-86.4953754,35.9689938
87,car_wash,-86.4952419,35.9678402
88,bank,-86.4955028,35.9674443
89,fast_food,-86.495574,35.9669121
90,fuel,-86.4954546,35.9663976
91,ice_cream,-86.4962716,35.9632695
92,fast_food,-86.4964375,35.9627789
93,place_of_worship,-86.4994839,35.9617459
94,place_of_worship,-86.500808,35.9627744
95,fuel,-86.5178672,35.9521986
96,place_of_worship,-86.5177495,35.9501922
97,place_of_worship,-86.5163526,35.9509203
98,fuel,-86.5332056,35.9328374
99,fast_food,-86.529027,35.9371817
100,fuel,-86.5298016,35.9357307
101,fuel,-86.5297867,35.9351014
102,dentist,-86.5286295,35.9396325
103,cafe,-86.5280177,35.9400466
104,fast_food,-86.52863,35.9408429
105,restaurant,-86.5281713,35.9418923
106,cafe,-86.526911,35.941105
107,fast_food,-86.5264146,35.9420028
108,fuel,-86.533277,35.9321095
109,fast_food,-86.5333909,35.931504
110,fast_food,-86.533419,35.9311713
111,veterinary,-86.5334549,35.9341188
112,fast_food,-86.5342987,35.9328768
113,fuel,-86.5342089,35.9322012
114,restaurant,-86.5347443,35.9314443
115,restaurant,-86.5347551,35.9313592
116,atm,-86.5341938,35.931314
117,restaurant,-86.5348662,35.9298507
118,fast_food,-86.5334199,35.9305001
119,fast_food,-86.5334739,35.9302995
120,car_wash,-86.5351134,35.9277789
121,restaurant,-86.5349075,35.9284552
122,fast_food,-86.5326746,35.9333686
123,bench,-86.5162394,35.9799867
124,fuel,-86.488131,35.9480108
125,place_of_worship,-86.5340702,35.9758836
126,atm,-86.5592734,35.981753
127,bench,-86.4838736,35.9981374
128,bench,-86.4852035,35.9967229
129,bench,-86.4851256,35.9967143
130,bench,-86.4870182,35.9968224
131,bbq,-86.4870058,35.9973733
132,bbq,-86.4871213,35.9972985
133,bench,-86.4825864,36.0007177
134,bench,-86.4820998,36.0021205
135,bench,-86.4820473,36.0021644
136,bench,-86.4798959,36.0023411
137,restaurant,-86.5117239,35.9759915
138,restaurant,-86.4942902,35.9847813
139,bench,-86.5193041,35.9819347
140,bench,-86.5192884,35.9819419
141,bench,-86.5192722,35.9819522
142,bench,-86.5192581,35.9819629
143,bench,-86.5192708,35.981972
144,bench,-86.5192816,35.9819815
145,bench,-86.5192907,35.9819933
146,bench,-86.5193026,35.9819834
147,bench,-86.5193145,35.9819751
148,bench,-86.5193113,35.9819612
149,bench,-86.5192947,35.9819709
150,bench,-86.519288,35.9819594
151,bench,-86.5193051,35.9819485
152,bench,-86.5193427,35.9819333
153,bench,-86.5193453,35.9819461
154,bench,-86.5193513,35.9819586
155,bench,-86.5193735,35.9819558
156,bench,-86.5193825,35.9819414
157,bench,-86.5193627,35.9819432
158,bench,-86.519359,35.9819301
