,amenity,longitude,latitude
0,school,-117.4632745,47.7223902
1,school,-117.473827,47.6746126
2,school,-117.410658,47.651715
3,school,-117.4185451,47.6390584
4,post_box,-117.4020989,47.6255196
5,parking_entrance,-117.423447,47.6600027
6,parking_entrance,-117.423623,47.6600019
7,parking,-117.424722,47.6594598
8,bicycle_parking,-117.3995567,47.6144679
9,theatre,-117.417241,47.6605855
10,conference_centre,-117.412577,47.660981
11,restaurant,-117.3691936,47.6142142
12,pub,-117.3692516,47.6144207
13,place_of_worship,-117.4036952,47.6278569
14,university,-117.4061772,47.6606992
15,bicycle_parking,-117.3995266,47.667969
16,bicycle_parking,-117.400942,47.666752
17,bicycle_parking,-117.401171,47.667577
18,bicycle_parking,-117.400141,47.667589
19,parking_entrance,-117.5400294,47.6250866
20,parking_entrance,-117.5389317,47.6249402
21,cinema,-117.425623,47.693834
22,restaurant,-117.441405,47.6553619
23,fountain,-117.4211171,47.6605764
24,drinking_water,-117.4448865,47.6529984
25,parking_entrance,-117.4092304,47.7013007
26,parking_entrance,-117.407449,47.701648
27,parking_entrance,-117.4074477,47.7014739
28,parking_entrance,-117.4061255,47.7009241
29,fountain,-117.411752,47.6344023
30,toilets,-117.4389139,47.6429859
31,shelter,-117.438914,47.6430546
32,toilets,-117.411614,47.6358694
33,toilets,-117.4232548,47.6385768
34,cafe,-117.447183,47.6994236
35,pharmacy,-117.3999029,47.6270386
36,parking_entrance,-117.4248463,47.6595654
37,cafe,-117.4322467,47.6563955
38,pub,-117.432734,47.6564009
39,parking_entrance,-117.5388767,47.6261196
40,post_box,-117.508143,47.6221966
41,post_box,-117.513481,47.6262297
42,recycling,-117.5024156,47.6281072
43,car_rental,-117.5366175,47.6267299
44,car_rental,-117.5349486,47.6276646
45,vending_machine,-117.4249044,47.6667379
46,vending_machine,-117.4214491,47.6674466
47,vending_machine,-117.4236723,47.6677745
48,restaurant,-117.4224981,47.6570135
49,post_box,-117.4201036,47.5930844
50,restaurant,-117.3199187,47.6805524
51,clock,-117.362993,47.6750448
52,waste_disposal,-117.3605564,47.673916
53,shelter,-117.3594707,47.6732578
54,waste_disposal,-117.3580782,47.6747481
55,waste_disposal,-117.3558229,47.6738101
56,fountain,-117.3632436,47.6750384
57,food_court,-117.3605525,47.6741619
58,toilets,-117.3616287,47.6741608
59,library,-117.3614295,47.6738124
60,atm,-117.3615135,47.6741614
61,clinic,-117.358556,47.6749162
62,toilets,-117.3601389,47.6731046
63,toilets,-117.3602867,47.6740515
64,toilets,-117.3615562,47.6749793
65,drinking_water,-117.3486754,47.6866941
66,shelter,-117.3629293,47.6751004
67,shelter,-117.3629303,47.6749633
68,toilets,-117.3704512,47.6881829
69,cafe,-117.4336808,47.6641867
70,bicycle_repair_station,-117.4010147,47.6271189
71,bar,-117.4257017,47.6937267
72,restaurant,-117.4243889,47.6419482
73,restaurant,-117.4272736,47.6465292
74,restaurant,-117.4011871,47.6275215
75,restaurant,-117.4009309,47.6272089
76,bank,-117.4010036,47.6277041
77,sanitary_dump_station,-117.4940334,47.6961168
78,bench,-117.4639666,47.6796506
79,fast_food,-117.425976,47.6752157
80,restaurant,-117.4387394,47.7164626
81,fast_food,-117.409246,47.6720789
82,clinic,-117.4088622,47.6720806
83,restaurant,-117.4397103,47.7164617
84,post_office,-117.439019,47.7164671
85,bank,-117.4400027,47.7164635
86,dojo,-117.4268891,47.6710433
87,cafe,-117.4403179,47.6814841
88,place_of_worship,-117.4003859,47.676191
89,fast_food,-117.4098865,47.6691462
90,fast_food,-117.35845,47.6575007
91,doctors,-117.3984189,47.6550245
92,restaurant,-117.396761,47.6688776
93,cafe,-117.397018,47.6690614
94,bicycle_parking,-117.3891783,47.6571258
95,restaurant,-117.3967454,47.6686103
96,cafe,-117.4119392,47.6720894
97,cafe,-117.4256703,47.6546257
98,waste_basket,-117.445882,47.675369
99,bench,-117.4458155,47.675412
100,bench,-117.4458065,47.6756049
101,waste_basket,-117.4454723,47.6757062
102,waste_basket,-117.4457649,47.6758621
103,bench,-117.4458007,47.6757308
104,bench,-117.4458062,47.675985
105,waste_basket,-117.4456848,47.6760607
106,bench,-117.4559363,47.6826168
107,pharmacy,-117.443483,47.6994883
108,restaurant,-117.4105611,47.7073696
109,fast_food,-117.4389144,47.7157437
110,cafe,-117.409461,47.7425882
111,dojo,-117.4255738,47.6929094
112,printer,-117.3928313,47.6570829
113,restaurant,-117.4848961,47.7383343
114,bar,-117.4854319,47.7384169
115,cafe,-117.4886861,47.7404552
116,fast_food,-117.4884695,47.7401801
117,atm,-117.4874986,47.740475
118,charging_station,-117.4244991,47.6550539
119,restaurant,-117.4232798,47.6551933
120,cafe,-117.367575,47.6099609
121,cafe,-117.367729,47.6098597
122,cafe,-117.3691659,47.6116218
123,fast_food,-117.365161,47.6100242
124,pharmacy,-117.3691713,47.6119292
125,restaurant,-117.369253,47.6122348
126,restaurant,-117.3692531,47.6145112
127,fast_food,-117.387996,47.7147512
128,car_rental,-117.3886669,47.7147661
129,bench,-117.453193,47.6583476
130,bench,-117.4523071,47.6586704
131,bicycle_parking,-117.4501761,47.6601885
132,bench,-117.4460182,47.660521
133,bicycle_parking,-117.4459425,47.6604975
134,waste_basket,-117.4454547,47.660901
135,bicycle_parking,-117.4455434,47.6609189
136,bench,-117.4453996,47.6609739
137,bench,-117.4528358,47.6609831
138,bench,-117.4528261,47.6611637
139,bench,-117.4450096,47.661241
140,bench,-117.4527495,47.6616455
141,bench,-117.4457237,47.6616411
142,bench,-117.4455819,47.6617391
143,bicycle_parking,-117.4528358,47.6619699
144,bench,-117.4586154,47.6659048
145,bench,-117.4586552,47.6659361
146,fuel,-117.4565291,47.696609
147,waste_basket,-117.5119516,47.7271738
148,place_of_worship,-117.4503772,47.6991386
149,restaurant,-117.4296494,47.6142635
150,bench,-117.4294298,47.6582221
151,bank,-117.423732,47.6581093
152,drinking_water,-117.4290138,47.6583085
153,bench,-117.4290419,47.658313
154,restaurant,-117.4766591,47.7001725
155,fast_food,-117.4361875,47.7085321
156,dojo,-117.4265108,47.6714479
157,dentist,-117.411964,47.7163875
158,restaurant,-117.4089897,47.6781125
159,fast_food,-117.411823,47.7136075
160,restaurant,-117.4103355,47.729775
161,fast_food,-117.4118161,47.7232004
162,cafe,-117.411585,47.7022258
163,fast_food,-117.4116664,47.7036636
164,post_office,-117.411809,47.7231138
165,restaurant,-117.4119641,47.7166889
166,ice_cream,-117.4061702,47.7443351
167,fast_food,-117.4060841,47.7442954
168,restaurant,-117.4091132,47.7412319
169,fast_food,-117.4058678,47.7446615
170,doctors,-117.4091146,47.7413302
171,theatre,-117.425265,47.6569634
172,restaurant,-117.3513473,47.6575489
173,bicycle_parking,-117.396677,47.6686423
174,restaurant,-117.426738,47.6564232
175,bank,-117.419329,47.657791
176,restaurant,-117.4162624,47.6581517
177,cafe,-117.4233281,47.6573272
178,bar,-117.4237003,47.6573183
179,fast_food,-117.365588,47.6936916
180,cafe,-117.36558,47.6938442
181,bench,-117.4708136,47.6390622
182,bench,-117.4705936,47.6391128
183,bench,-117.4705883,47.6391454
184,bench,-117.4708431,47.6391933
185,bench,-117.4702007,47.639383
186,bench,-117.4692405,47.6397318
187,bench,-117.4694604,47.6398412
188,bench,-117.4693022,47.6399379
189,bench,-117.4687188,47.6400992
190,bench,-117.4686812,47.6401443
191,bench,-117.468472,47.6403431
192,bench,-117.4671398,47.6412894
