,amenity,longitude,latitude
0,place_of_worship,-77.1962584,38.7794847
1,place_of_worship,-77.1953626,38.7795851
2,place_of_worship,-77.1838708,38.7670888
3,place_of_worship,-77.1885928,38.7612249
4,place_of_worship,-77.199951,38.7638729
5,place_of_worship,-77.1864912,38.7998544
6,post_office,-77.185658,38.773529
7,school,-77.1852636,38.8102965
8,school,-77.16998,38.79826
9,school,-77.1861213,38.8073421
10,school,-77.18511,38.80549
11,school,-77.1835372,38.8080752
12,fire_station,-77.171216,38.805055
13,library,-77.1922039,38.7795579
14,parking_entrance,-77.169395,38.7671145
15,fast_food,-77.1709799,38.7721919
16,fast_food,-77.1710818,38.7724805
17,restaurant,-77.1710389,38.7750441
18,cafe,-77.1710603,38.7752394
19,restaurant,-77.1699339,38.7698748
20,parking_entrance,-77.1822042,38.7943383
21,restaurant,-77.1777769,38.7770441
22,fast_food,-77.1756193,38.7776873
23,post_box,-77.178383,38.775751
24,restaurant,-77.178773,38.772826
25,veterinary,-77.183533,38.771383
26,fuel,-77.183649,38.7722734
27,fuel,-77.185439,38.7805559
28,restaurant,-77.1875712,38.7830004
29,parking_entrance,-77.1774605,38.7734724
30,parking_entrance,-77.1732043,38.7717265
31,parking_entrance,-77.1725356,38.7719311
32,parking_entrance,-77.1723104,38.7728566
33,parking_entrance,-77.1704102,38.7724043
34,parking_entrance,-77.1713744,38.7677283
35,parking_entrance,-77.1712433,38.7669752
36,restaurant,-77.1877799,38.7818372
37,restaurant,-77.1834047,38.7743465
38,veterinary,-77.1829177,38.7743361
39,restaurant,-77.1835374,38.771718
40,fuel,-77.1848193,38.8000612
41,parking_entrance,-77.1708732,38.7730353
42,parking_entrance,-77.1766477,38.7732295
43,parking_entrance,-77.1770456,38.7740509
44,fire_station,-77.1838527,38.7658942
45,nightclub,-77.185875,38.7810797
46,parking_entrance,-77.1775864,38.7796821
47,parking,-77.176402,38.7802388
48,bar,-77.1758004,38.7789918
49,fast_food,-77.1897511,38.7790974
50,car_rental,-77.1790822,38.7761385
51,restaurant,-77.1833797,38.7835744
52,restaurant,-77.1892842,38.7814287
53,fast_food,-77.1895043,38.7808727
54,fast_food,-77.1897055,38.7803834
55,cafe,-77.1898478,38.7790766
56,pharmacy,-77.18977,38.7793192
57,cafe,-77.1898128,38.7795241
58,parking_entrance,-77.1764069,38.7737885
59,parking_entrance,-77.1750758,38.7675442
60,toilets,-77.2034888,38.7768837
61,parking_entrance,-77.1694217,38.7679395
62,restaurant,-77.1901719,38.7790481
63,fountain,-77.199546,38.7667215
64,parking_entrance,-77.1773854,38.7975251
65,drinking_water,-77.2028555,38.7783681
66,toilets,-77.2029117,38.778375
67,bench,-77.2002513,38.7681058
68,bench,-77.2003673,38.7680718
69,place_of_worship,-77.2038396,38.7671866
70,waste_basket,-77.1811979,38.8113216
71,bench,-77.1818472,38.811247
72,waste_basket,-77.1818908,38.8112514
73,parking_entrance,-77.1704372,38.7679398
74,parking_entrance,-77.1702775,38.7669982
75,parking_entrance,-77.1683149,38.767258
76,parking_entrance,-77.1691322,38.7671789
77,parking_entrance,-77.1682771,38.7676919
78,parking_entrance,-77.1692745,38.7678413
79,parking_entrance,-77.1441438,38.8004082
80,parking_entrance,-77.1449141,38.8003192
81,restaurant,-77.1882417,38.7395618
82,parking_entrance,-77.1802167,38.7712423
83,atm,-77.1837658,38.7827218
84,fast_food,-77.184817,38.7725849
85,restaurant,-77.1845219,38.7725925
86,restaurant,-77.1831081,38.7729269
87,fast_food,-77.183115,38.773586
88,fast_food,-77.1832733,38.7729312
89,restaurant,-77.1831678,38.7733878
90,dentist,-77.1831497,38.7739456
91,loading_dock,-77.1842079,38.7815729
92,parking_entrance,-77.185476,38.7799349
93,parking_entrance,-77.1697319,38.7723909
94,parking_entrance,-77.1699412,38.772395
95,parking_entrance,-77.1701585,38.7723993
96,restaurant,-77.1850047,38.7735292
97,restaurant,-77.1847303,38.7735688
98,restaurant,-77.18485,38.7735502
99,fast_food,-77.1846237,38.7732088
100,fast_food,-77.1843679,38.7731954
101,restaurant,-77.1872949,38.7794322
102,restaurant,-77.1871145,38.7792906
103,restaurant,-77.1871378,38.7794575
104,parking_entrance,-77.1689542,38.7775336
105,dentist,-77.1857098,38.8012183
106,dentist,-77.1852132,38.8014345
107,doctors,-77.1850578,38.8011482
108,doctors,-77.1849661,38.8014983
109,parking_entrance,-77.1776355,38.7763734
110,parking_entrance,-77.1776374,38.7761669
111,bank,-77.1766789,38.7769123
112,dentist,-77.1822156,38.783702
113,charging_station,-77.1775236,38.7743974
114,cafe,-77.1846409,38.7730734
115,restaurant,-77.1871246,38.7817432
116,restaurant,-77.1871215,38.7820509
117,restaurant,-77.1876524,38.7830229
118,marketplace,-77.1876601,38.7830508
119,restaurant,-77.1877593,38.7830921
120,parking_entrance,-77.1701556,38.7989065
121,parking_entrance,-77.1698437,38.7992152
122,parking_entrance,-77.1697423,38.7993156
123,parking_entrance,-77.169487,38.7730284
124,parking_space,-77.1819569,38.806306
125,parking_space,-77.1819741,38.8062405
126,parking_space,-77.1819745,38.8062154
127,parking_space,-77.1819774,38.8061913
128,parking_space,-77.1819805,38.8061418
129,parking_space,-77.1819805,38.8061199
130,parking_space,-77.1818503,38.8053813
131,parking_space,-77.1817972,38.8053839
132,parking_entrance,-77.1757149,38.7644009
133,parking_entrance,-77.1752735,38.7640818
134,parking_entrance,-77.1767786,38.7795497
135,parking_entrance,-77.1734111,38.7654426
136,parking_entrance,-77.1737538,38.7657322
137,parking_entrance,-77.1751305,38.7645878
138,parking_entrance,-77.1867999,38.7798759
139,parking_entrance,-77.1616461,38.8005622
140,parking_entrance,-77.1616216,38.8005295
141,car_rental,-77.1781454,38.7726745
142,bank,-77.1847596,38.7818302
143,loading_dock,-77.1748598,38.7757578
144,letter_box,-77.2016151,38.7755415
145,waste_basket,-77.2016371,38.7755277
146,post_office,-77.186634,38.7803101
147,fast_food,-77.1868424,38.7809266
148,fast_food,-77.1869752,38.7812723
149,bank,-77.1859246,38.7818548
150,restaurant,-77.1821172,38.781752
151,restaurant,-77.1853302,38.7835536
152,restaurant,-77.1848499,38.7835842
153,bar,-77.183335,38.7834167
154,bicycle_rental,-77.160014,38.775639
155,bicycle_rental,-77.1689,38.7669366
156,car_wash,-77.1601424,38.8018438
157,fast_food,-77.160342,38.8017949
158,ice_cream,-77.1603702,38.8017811
159,fast_food,-77.1834376,38.7714977
160,fast_food,-77.173193,38.774673
161,bank,-77.19025,38.7815238
162,restaurant,-77.1904063,38.7812431
