,amenity,longitude,latitude
0,place_of_worship,-80.223381,26.1823064
1,place_of_worship,-80.2442149,26.2211939
2,school,-80.2531041,26.1989725
3,post_office,-80.2537874,26.1943571
4,pharmacy,-80.2366052,26.1944072
5,post_office,-80.2045186,26.1934936
6,restaurant,-80.2846604,26.211161
7,toilets,-80.2546928,26.2296216
8,shelter,-80.2922191,26.229052
9,drinking_water,-80.2545908,26.2295155
10,drinking_water,-80.2921014,26.2287335
11,bench,-80.2846617,26.2291897
12,fast_food,-80.2700841,26.2115743
13,restaurant,-80.2703771,26.21135
14,fountain,-80.2689581,26.2078982
15,fountain,-80.2660635,26.194312
16,fountain,-80.2652981,26.1943384
17,fast_food,-80.2520675,26.2285206
18,cinema,-80.2860174,26.2067423
19,bench,-80.2586803,26.2146214
20,bench,-80.2580864,26.2143063
21,waste_basket,-80.2584116,26.2128196
22,bicycle_parking,-80.2584935,26.2127927
23,bench,-80.2583601,26.2128525
24,bench,-80.2588919,26.2137413
25,waste_basket,-80.2589098,26.2137698
26,waste_basket,-80.2586635,26.2146427
27,waste_basket,-80.2580645,26.2143222
28,waste_basket,-80.2583247,26.2125594
29,fast_food,-80.2190168,26.1931082
30,drinking_water,-80.2829162,26.2290068
31,shelter,-80.2918764,26.2287979
32,shelter,-80.2861409,26.2289255
33,shelter,-80.2860319,26.2290125
34,shelter,-80.2859615,26.2288696
35,shelter,-80.2842294,26.2289991
36,fast_food,-80.2711591,26.2263675
37,bank,-80.271047,26.2275223
38,restaurant,-80.2711424,26.2278982
39,fountain,-80.2720347,26.213964
40,shelter,-80.2569678,26.2291599
41,bicycle_parking,-80.2545083,26.2295829
42,bbq,-80.253799,26.229673
43,fuel,-80.2565861,26.1941818
44,bench,-80.2665982,26.2293918
45,restaurant,-80.2624092,26.1938956
46,fountain,-80.290563,26.2120227
47,fuel,-80.2839081,26.1942674
48,bank,-80.2515449,26.1943255
49,fuel,-80.1756141,26.1884065
50,fast_food,-80.1879504,26.1858876
51,bank,-80.2004072,26.1858294
52,toilets,-80.2921975,26.2287907
53,shelter,-80.2886595,26.228963
54,shelter,-80.2882101,26.2289675
55,shelter,-80.2884348,26.2291474
56,fast_food,-80.2851429,26.2073307
57,fast_food,-80.2850034,26.2064812
58,fast_food,-80.2080779,26.1888351
59,bicycle_repair_station,-80.2545516,26.2295875
60,fountain,-80.2240429,26.199428
61,bicycle_repair_station,-80.2839296,26.2180853
62,bicycle_parking,-80.2038632,26.1857235
63,bicycle_parking,-80.2039809,26.1910595
64,bicycle_parking,-80.2039625,26.189335
65,bbq,-80.2952482,26.2077372
66,bbq,-80.2957936,26.2075067
67,bbq,-80.2956933,26.2073852
68,bbq,-80.2953144,26.2073127
69,bbq,-80.2947778,26.2073854
70,bbq,-80.2948144,26.207759
71,bench,-80.2954416,26.2073816
72,bench,-80.2958655,26.2075033
73,bench,-80.2948685,26.207311
74,bench,-80.2948989,26.2070222
75,bench,-80.2948497,26.2069901
76,fuel,-80.2523348,26.2284537
77,fountain,-80.2858139,26.1978349
78,restaurant,-80.2437846,26.1943095
