,amenity,longitude,latitude
0,restaurant,-117.1555339,33.5288666
1,cafe,-117.100032,33.4819738
2,cafe,-117.1008302,33.4809678
3,fast_food,-117.1008401,33.4808344
4,pharmacy,-117.0999907,33.4820979
5,restaurant,-117.101428,33.4816433
6,pub,-117.1011333,33.4821516
7,fast_food,-117.1021968,33.4830168
8,fast_food,-117.101245,33.4788066
9,post_box,-117.1022911,33.4780488
10,bank,-117.1017497,33.4784627
11,fast_food,-117.1507802,33.494848
12,atm,-117.152097,33.4963117
13,post_box,-117.152207,33.4968049
14,post_box,-117.146636,33.491755
15,bus_station,-117.1512762,33.4959467
16,post_box,-117.123176,33.507531
17,atm,-117.1273985,33.5098919
18,fast_food,-117.1005854,33.4800774
19,atm,-117.098801,33.4800802
20,fuel,-117.0930052,33.4819424
21,toilets,-117.0995286,33.4851837
22,fast_food,-117.0777031,33.4856539
23,theatre,-117.1260938,33.4990352
24,parking_entrance,-117.1535237,33.5236549
25,atm,-117.1524872,33.524928
26,restaurant,-117.15341,33.5241937
27,restaurant,-117.152709,33.5233117
28,restaurant,-117.152301,33.5236176
29,fast_food,-117.1533584,33.5256913
30,parking_entrance,-117.1533837,33.5229217
31,fast_food,-117.156653,33.5223666
32,bank,-117.1005537,33.4818395
33,post_box,-117.162534,33.526876
34,parking,-117.0712353,33.4832657
35,post_box,-117.163872,33.5285886
36,recycling,-117.0804475,33.4840624
37,restaurant,-117.0811131,33.4852164
38,theatre,-117.1644554,33.5287963
39,drinking_water,-117.0754546,33.4740956
40,post_box,-117.075128,33.4706121
41,post_box,-117.07475,33.4724982
42,post_box,-117.072624,33.4734568
43,post_box,-117.073149,33.4743158
44,bicycle_parking,-117.165107,33.5282705
45,post_box,-117.073596,33.4714857
46,post_box,-117.073835,33.4711188
47,post_box,-117.072244,33.4720115
48,restaurant,-117.1611459,33.5248386
49,cafe,-117.1615411,33.5246394
50,restaurant,-117.1502892,33.4948028
51,atm,-117.1515802,33.4958707
52,fast_food,-117.1513993,33.4957315
53,fast_food,-117.1015173,33.4819054
54,place_of_worship,-117.1452553,33.4899381
55,place_of_worship,-117.1446199,33.4889998
56,atm,-117.150421,33.5048711
57,pub,-117.0897446,33.4815265
58,restaurant,-117.089815,33.4828064
59,atm,-117.153126,33.5251709
60,restaurant,-117.1525942,33.5257099
61,cafe,-117.1538753,33.5256873
62,restaurant,-117.15135,33.5228495
63,ice_cream,-117.1527659,33.5243796
64,restaurant,-117.15181,33.5226905
65,fast_food,-117.1563212,33.5271116
66,post_box,-117.154059,33.4933781
67,post_box,-117.1532291,33.4940234
68,post_box,-117.151989,33.49294
69,post_box,-117.1549082,33.4962691
70,bar,-117.1432377,33.4856989
71,restaurant,-117.1443053,33.4868871
72,post_box,-117.1386785,33.5082016
73,restaurant,-117.1616406,33.5168221
74,cafe,-117.1390006,33.4790065
75,post_box,-117.1384106,33.4955281
76,post_box,-117.1162809,33.4975487
77,cafe,-117.1494676,33.4936358
78,restaurant,-117.1507215,33.4942129
79,restaurant,-117.1510711,33.4946823
80,restaurant,-117.1502308,33.4952195
81,post_box,-117.1160177,33.5431699
82,post_box,-117.0890958,33.4507276
83,post_box,-117.0894217,33.4498506
84,post_box,-117.0986314,33.4549143
85,post_box,-117.0978374,33.4545607
86,post_box,-117.099538,33.4544936
87,post_box,-117.0978589,33.4564807
88,post_box,-117.0997813,33.4569011
89,post_box,-117.1010346,33.4584097
90,post_box,-117.1023972,33.4564047
91,post_box,-117.1015389,33.4565926
92,post_box,-117.1004928,33.4562659
93,post_box,-117.0999314,33.4558829
94,post_box,-117.0991678,33.457537
95,post_box,-117.1000208,33.4582307
96,post_box,-117.0865877,33.4794614
97,post_box,-117.0875264,33.4799312
