,amenity,longitude,latitude
0,school,-80.4163889,25.6819444
1,school,-80.3969444,25.6719444
2,kindergarten,-80.4163889,25.6833333
3,kindergarten,-80.3972222,25.6713889
4,kindergarten,-80.4038889,25.6638889
5,kindergarten,-80.4094444,25.6588889
6,police,-80.3873975,25.6636664
7,cafe,-80.4151829,25.6847666
8,pharmacy,-80.4058767,25.664129
9,parking,-80.4072097,25.6803781
10,dancing_school,-80.4059018,25.6648178
11,restaurant,-80.4058692,25.6642857
12,clinic,-80.405869,25.664335
13,doctors,-80.4059269,25.6648853
14,post_office,-80.40588,25.6647855
15,restaurant,-80.4058013,25.6644883
16,restaurant,-80.3991968,25.6842238
17,fast_food,-80.3925916,25.6847232
18,dentist,-80.390359,25.6850029
19,restaurant,-80.3919782,25.6847377
20,restaurant,-80.3912775,25.6855625
21,fast_food,-80.416031,25.6838526
22,restaurant,-80.4020049,25.6848572
23,fast_food,-80.415178,25.6845591
24,fast_food,-80.3870648,25.6619016
25,toilets,-80.3870118,25.6616066
26,restaurant,-80.4151759,25.684492
27,ice_cream,-80.4151759,25.6843808
28,dentist,-80.4151732,25.6842599
29,veterinary,-80.41547,25.6838764
30,prep_school,-80.4156921,25.6838775
31,fast_food,-80.4158231,25.6838775
32,restaurant,-80.398302,25.6856024
33,fast_food,-80.3933868,25.6625834
34,bench,-80.3939066,25.6657941
35,bench,-80.394116,25.665376
36,bench,-80.3931877,25.6656167
