,amenity,longitude,latitude
0,school,-82.5675969,28.0355736
1,place_of_worship,-82.5317627,28.0252962
2,place_of_worship,-82.5512076,27.9989083
3,school,-82.5659302,28.0114078
4,place_of_worship,-82.56548,27.986511
5,place_of_worship,-82.5787,28.003
6,place_of_worship,-82.577099,27.997409
7,place_of_worship,-82.578989,28.006151
8,fire_station,-82.5601839,27.9962197
9,fire_station,-82.5845338,27.9996874
10,fire_station,-82.5822607,28.0374086
11,library,-82.535039,28.026689
12,police,-82.5626792,28.0261852
13,bus_station,-82.5845763,28.0280708
14,bicycle_parking,-82.5851754,28.0277737
15,drinking_water,-82.6070402,28.016818
16,drinking_water,-82.5769875,28.0360023
17,parking,-82.6068985,28.0168347
18,parking,-82.5889539,28.0282602
19,toilets,-82.5882362,28.0280886
20,drinking_water,-82.5882803,28.028059
21,restaurant,-82.6087102,28.0102306
22,fuel,-82.5985834,28.0047411
23,car_wash,-82.5923007,28.0007021
24,restaurant,-82.5786375,27.9969992
25,restaurant,-82.5761067,27.9970085
26,fuel,-82.575512,27.9974375
27,car_rental,-82.5692156,27.9962161
28,fountain,-82.5610231,27.9947315
29,fountain,-82.6230408,28.0229914
30,fountain,-82.6241925,28.0214864
31,social_centre,-82.5343415,27.9968638
32,fast_food,-82.539207,28.025122
33,restaurant,-82.5525968,28.0263043
34,post_office,-82.5814344,27.9979195
35,place_of_worship,-82.5746318,27.9973694
36,atm,-82.5632041,27.9973428
37,atm,-82.5508231,27.9970818
38,vending_machine,-82.5845174,28.0279989
39,bbq,-82.542393,28.026155
40,pharmacy,-82.5825376,28.024582
41,fountain,-82.6153991,28.0181743
42,fountain,-82.5755489,27.9810595
43,bench,-82.57698,28.0359692
44,bicycle_repair_station,-82.5805466,28.0029558
45,cafe,-82.5413514,28.0325369
46,ice_cream,-82.5425958,28.0318146
47,restaurant,-82.5421847,28.0345438
48,restaurant,-82.5379007,28.0251427
49,fast_food,-82.6128787,28.0159502
50,cafe,-82.613208,28.0161769
51,fast_food,-82.6153265,28.0155732
52,veterinary,-82.6145799,28.0170443
53,social_centre,-82.6115509,28.0148955
54,doctors,-82.6117107,28.0149986
55,dentist,-82.6119358,28.0147728
56,taxi,-82.5315736,28.0248631
57,restaurant,-82.5588164,27.9970159
58,restaurant,-82.5594604,27.9969347
59,theatre,-82.6031029,28.0213884
60,restaurant,-82.5636749,27.9982643
61,restaurant,-82.5705667,27.9861149
62,parking_space,-82.5879699,28.0323858
63,parking_space,-82.5879117,28.0323839
64,parking_space,-82.5890322,28.0292304
65,parking_space,-82.5889945,28.0292305
66,parking_space,-82.589107,28.0292295
67,parking_space,-82.5891434,28.0292309
68,parking_space,-82.5898751,28.028795
69,fountain,-82.5936952,28.0276988
70,parking_space,-82.5946008,28.0289435
71,parking_space,-82.5952005,28.0295199
72,parking_space,-82.5954401,28.0307284
73,fountain,-82.6008134,28.0317626
74,parking_space,-82.5952288,28.0285647
75,parking_space,-82.5951978,28.0285237
76,fountain,-82.5834679,28.0370185
77,parking_space,-82.5852707,28.0374996
78,parking_space,-82.5848151,28.0377929
79,restaurant,-82.5838832,28.0272739
80,pub,-82.5840974,28.0272857
81,gambling,-82.5812166,27.9979217
82,fast_food,-82.5839591,27.9962314
83,fountain,-82.5732741,27.982632
84,fountain,-82.5724758,27.9839245
85,fountain,-82.5714084,27.9850311
86,atm,-82.5638913,27.9819829
87,fast_food,-82.5679883,27.9835684
88,restaurant,-82.5687988,27.9844944
89,restaurant,-82.5689816,27.984674
90,restaurant,-82.5688844,27.9853436
91,restaurant,-82.5693095,27.9850019
92,parking,-82.5698485,27.9854608
93,parking,-82.5827153,28.0246004
94,restaurant,-82.6104779,28.0101988
95,cafe,-82.6098496,28.0097745
96,restaurant,-82.6098093,28.0097317
97,animal_boarding,-82.609679,28.0096505
98,dojo,-82.6092584,28.0097736
99,restaurant,-82.6090497,28.0100355
100,doctors,-82.5979122,28.0054979
101,cafe,-82.5980498,28.0052828
102,restaurant,-82.59778,28.0051121
103,events_venue,-82.5974447,28.0049067
104,animal_boarding,-82.5969411,28.0046395
105,kindergarten,-82.5968493,28.0045759
106,restaurant,-82.5965544,28.0043907
107,restaurant,-82.5961819,28.0036876
108,driving_school,-82.5961721,28.0036056
109,restaurant,-82.5961471,28.0035575
110,events_venue,-82.596294,28.0033532
111,cafe,-82.5964308,28.0033175
112,school,-82.5740927,27.9957813
113,parking_entrance,-82.5487349,27.9832058
114,fountain,-82.5718879,27.9908768
115,fast_food,-82.5275887,28.0260621
116,fast_food,-82.546548,28.0263079
117,fast_food,-82.5724664,28.0254983
118,fast_food,-82.576578,27.9971
