,amenity,longitude,latitude
0,bank,-123.20662,39.1473843
1,bank,-123.2091186,39.1506059
2,townhall,-123.210146,39.1469055
3,fuel,-123.2085626,39.1594319
4,cafe,-123.2084041,39.1530615
5,restaurant,-123.2080084,39.148847
6,pub,-123.2078041,39.1498742
7,bank,-123.1991859,39.1355811
8,restaurant,-123.2013741,39.1527781
9,place_of_worship,-123.2147277,39.1479488
10,place_of_worship,-123.2147277,39.1493375
11,place_of_worship,-123.2119915,39.1489493
12,place_of_worship,-123.2168785,39.1506324
13,place_of_worship,-123.2110596,39.1505415
14,courthouse,-123.2081719,39.1502004
15,library,-123.2126493,39.1489782
16,library,-123.2081891,39.1502935
17,library,-123.2064725,39.1505465
18,restaurant,-123.2080608,39.1490598
19,theatre,-123.2237088,39.1618183
20,post_office,-123.1977602,39.1456902
21,restaurant,-123.197585,39.1499764
22,fire_station,-123.2103829,39.1465474
23,police,-123.2100825,39.1465765
24,drinking_water,-123.19633,39.13012
25,toilets,-123.1964157,39.1319522
26,drinking_water,-123.1966161,39.1333228
27,drinking_water,-123.1974246,39.1339934
28,police,-123.2196403,39.1609508
29,bank,-123.1977077,39.1498464
30,toilets,-123.224358,39.1619396
31,toilets,-123.22768,39.1609926
32,restaurant,-123.2044143,39.1366319
33,fast_food,-123.1971643,39.1340662
34,boat_storage,-123.2008265,39.1328664
35,bench,-123.2117783,39.138135
36,place_of_worship,-123.210407,39.1373537
37,restaurant,-123.1968265,39.1309851
38,bank,-123.2069012,39.1428692
39,car_rental,-123.2067061,39.1421556
40,restaurant,-123.1990747,39.131877
41,restaurant,-123.199128,39.1323195
42,dentist,-123.199085,39.1285971
43,clinic,-123.1994562,39.1285015
44,school,-123.1994936,39.1287297
45,cafe,-123.199132,39.1323686
46,clinic,-123.1994778,39.1286129
47,restaurant,-123.1995371,39.1289339
48,ice_cream,-123.1995387,39.1290204
49,clinic,-123.1995408,39.1291265
50,dentist,-123.199183,39.1293288
51,fast_food,-123.2062324,39.1396262
52,dentist,-123.204813,39.1353324
53,restaurant,-123.2054552,39.1355133
54,place_of_worship,-123.208665,39.1473617
55,school,-123.2101945,39.1513594
56,ice_cream,-123.2013727,39.1529666
57,restaurant,-123.2013745,39.1528821
58,bank,-123.206442,39.1453291
59,cafe,-123.206867,39.1444702
