,amenity,longitude,latitude
0,place_of_worship,-86.768044,33.4306633
1,place_of_worship,-86.7224876,33.4623287
2,place_of_worship,-86.7869334,33.4459406
3,school,-86.7861001,33.4484405
4,place_of_worship,-86.7949892,33.4453852
5,grave_yard,-86.7318142,33.466455
6,fire_station,-86.7878289,33.4507497
7,restaurant,-86.7335308,33.4604017
8,fire_station,-86.7783089,33.4221375
9,place_of_worship,-86.807138,33.438852
10,restaurant,-86.805658,33.416819
11,post_box,-86.7740373,33.4263548
12,fuel,-86.731096,33.4624216
13,restaurant,-86.796545,33.4225332
14,restaurant,-86.7898405,33.4376157
15,fuel,-86.7369753,33.4561971
16,fuel,-86.7368688,33.4566845
17,fast_food,-86.7362266,33.4552876
18,pharmacy,-86.7362905,33.4554453
19,cafe,-86.7356415,33.4562302
20,parking_entrance,-86.7918619,33.4460751
21,cafe,-86.7914997,33.4459825
22,fast_food,-86.7916438,33.4459953
23,fuel,-86.7915253,33.4456802
24,fast_food,-86.7915851,33.4448666
25,post_office,-86.7916446,33.4450764
26,place_of_worship,-86.730775,33.4689324
27,place_of_worship,-86.7862368,33.4538373
28,restaurant,-86.7334282,33.4540967
29,fuel,-86.7626109,33.4106988
30,place_of_worship,-86.7688934,33.4626035
31,restaurant,-86.7374946,33.4564046
32,place_of_worship,-86.7396938,33.4563995
33,parking_entrance,-86.7931238,33.4463254
34,parking_entrance,-86.7936005,33.4462286
35,parking_entrance,-86.7929985,33.4462344
36,parking_entrance,-86.7921013,33.4468681
37,parking_entrance,-86.7928196,33.4467677
38,parking_entrance,-86.7917823,33.4459046
39,parking_entrance,-86.7918956,33.4455553
40,fast_food,-86.7877461,33.4503457
41,restaurant,-86.7027003,33.4802449
42,restaurant,-86.7305818,33.4609125
43,parking_entrance,-86.7041655,33.4818431
44,parking_entrance,-86.7042194,33.4820157
45,fuel,-86.6945199,33.4735452
46,place_of_worship,-86.798126,33.4151868
