,amenity,longitude,latitude
0,parking_entrance,-122.0607698,37.9013533
1,school,-122.0794079,37.922146
2,school,-122.0791302,37.922146
3,place_of_worship,-122.0724397,37.9138919
4,place_of_worship,-122.07,37.9105556
5,place_of_worship,-122.0822222,37.9172222
6,place_of_worship,-122.0711111,37.9097222
7,restaurant,-122.0403131,37.9273729
8,post_office,-122.014931,37.9308989
9,bus_station,-122.0684547,37.9054873
10,post_box,-122.028761,37.9262515
11,restaurant,-122.037508,37.9174174
12,bbq,-122.043111,37.9185987
13,parking_entrance,-122.0641272,37.9040745
14,restaurant,-122.0623567,37.9002153
15,restaurant,-122.0624613,37.900447
16,restaurant,-122.0624867,37.9005201
17,fountain,-122.0588223,37.8978923
18,fast_food,-122.061159,37.8956324
19,parking_entrance,-122.0608366,37.8958137
20,parking_entrance,-122.0606316,37.8955125
21,fast_food,-122.0610961,37.8954907
22,cafe,-122.0611268,37.8955616
23,parking_entrance,-122.063053,37.8967347
24,parking_entrance,-122.0622957,37.8965629
25,parking_entrance,-122.0591611,37.899325
26,parking_entrance,-122.0622014,37.905472
27,parking_entrance,-122.0622221,37.9059386
28,bench,-122.0612102,37.9021615
29,bench,-122.0612625,37.90208
30,bench,-122.0609876,37.902099
31,bench,-122.061263,37.9020134
32,restaurant,-122.062587,37.9019637
33,bench,-122.0610037,37.9020302
34,bench,-122.0595854,37.9027964
35,parking_entrance,-122.062149,37.9055152
36,parking_entrance,-122.0655349,37.9062125
37,parking_entrance,-122.0591244,37.8989297
38,parking_entrance,-122.0564415,37.8955733
39,parking_entrance,-122.0588734,37.8989793
40,post_box,-122.0690658,37.9032196
41,post_box,-122.069771,37.898873
42,post_box,-122.072997,37.8958308
43,post_box,-122.0689792,37.896634
44,doctors,-122.0678845,37.8969353
45,restaurant,-122.0652957,37.8970664
46,drinking_water,-122.062407,37.897179
47,bicycle_parking,-122.06271,37.897156
48,bicycle_parking,-122.062141,37.897175
49,post_box,-122.060271,37.898263
50,bank,-122.0609083,37.900017
51,restaurant,-122.0608507,37.8998589
52,restaurant,-122.06082,37.8997619
53,pub,-122.0611883,37.9007343
54,post_box,-122.0618619,37.9014133
55,restaurant,-122.065141,37.902438
56,post_box,-122.065187,37.90332
57,bicycle_parking,-122.0670945,37.9054618
58,taxi,-122.0683425,37.9067841
59,restaurant,-122.0609134,37.9000433
60,restaurant,-122.0609482,37.9001241
61,restaurant,-122.0637172,37.8984149
62,restaurant,-122.0611065,37.9005301
63,fast_food,-122.0151938,37.9299093
64,parking_entrance,-122.0606664,37.9033328
65,cafe,-122.039707,37.9286755
66,pharmacy,-122.040099,37.9294692
67,post_office,-122.039654,37.9284325
68,restaurant,-122.0162598,37.9255086
69,atm,-122.040415,37.9295157
70,post_box,-122.014006,37.9298416
71,fast_food,-122.0399544,37.9291519
72,restaurant,-122.0617189,37.8958425
73,pharmacy,-122.0143304,37.9263667
74,restaurant,-122.062829,37.8971464
75,restaurant,-122.0167007,37.9255749
76,restaurant,-122.061091,37.896033
77,fast_food,-122.0161585,37.9255671
78,fast_food,-122.0168348,37.9257314
79,restaurant,-122.0631831,37.8992103
80,restaurant,-122.059108,37.8979131
81,bank,-122.0599915,37.8979337
82,cafe,-122.060072,37.8980649
83,school,-122.0195015,37.9318995
84,cafe,-122.0367238,37.9178176
85,bicycle_parking,-122.0600751,37.89704
