,amenity,longitude,latitude
0,place_of_worship,-93.7163722,41.5827401
1,place_of_worship,-93.711362,41.5698265
2,place_of_worship,-93.7349438,41.5597116
3,doctors,-93.7962736,41.5993984
4,place_of_worship,-93.7585555,41.5383229
5,bench,-93.7147581,41.5669369
6,bench,-93.7147186,41.5669646
7,fountain,-93.7822197,41.5966958
8,fountain,-93.782868,41.5944329
9,fountain,-93.7825228,41.5946338
10,fountain,-93.7831703,41.5946767
11,fast_food,-93.7584185,41.5997671
12,restaurant,-93.734563,41.5945802
13,cafe,-93.7355018,41.5994824
14,fast_food,-93.7355165,41.59969
15,fast_food,-93.7502404,41.597793
16,fast_food,-93.7502638,41.5974154
17,pub,-93.7493419,41.5966578
18,fuel,-93.7524957,41.5940844
19,restaurant,-93.7536062,41.5949797
20,fast_food,-93.7609237,41.5950334
21,restaurant,-93.7704378,41.5967407
22,fast_food,-93.7623293,41.5951178
23,bank,-93.7622702,41.5949533
24,fast_food,-93.7060533,41.5824837
25,restaurant,-93.8047764,41.5686806
26,fast_food,-93.8042373,41.5688342
27,restaurant,-93.806008,41.5649177
28,fast_food,-93.7738836,41.5583556
29,restaurant,-93.7844467,41.5620259
30,bar,-93.7844182,41.5618595
31,theatre,-93.7844225,41.5616706
32,restaurant,-93.784437,41.5604968
33,bar,-93.7837064,41.5606874
34,fast_food,-93.7835894,41.5602881
35,fast_food,-93.7832648,41.5602821
36,restaurant,-93.7831112,41.5607087
37,fast_food,-93.7805773,41.5610898
38,bar,-93.7835239,41.5607236
39,ice_cream,-93.8040501,41.5688721
40,fountain,-93.7819689,41.5607558
41,restaurant,-93.7702897,41.5578757
42,fast_food,-93.76916,41.5584279
43,restaurant,-93.7697268,41.5602258
44,restaurant,-93.7917116,41.5602773
45,fast_food,-93.8101256,41.5669851
46,fast_food,-93.8080279,41.5896284
47,fast_food,-93.8063844,41.5898943
48,theatre,-93.7385783,41.598289
49,waste_disposal,-93.7393239,41.5417183
50,waste_disposal,-93.7404169,41.5425618
51,toilets,-93.7401532,41.5424531
52,toilets,-93.7456679,41.5416345
53,toilets,-93.7401242,41.5424229
54,drinking_water,-93.7401775,41.5423951
55,recycling,-93.7392936,41.5417139
56,drinking_water,-93.7404169,41.542584
57,drinking_water,-93.745375,41.5414257
58,recycling,-93.740408,41.5425529
59,toilets,-93.7382756,41.5397832
60,drinking_water,-93.7767972,41.5848011
61,theatre,-93.8040049,41.5676189
62,bench,-93.7741505,41.5735177
63,bench,-93.7793546,41.575118
64,bench,-93.7743996,41.574222
65,bench,-93.7844939,41.5676402
66,bench,-93.7845295,41.5676026
67,bench,-93.7857358,41.56754
68,bench,-93.7547348,41.5724419
69,bench,-93.7529743,41.5722646
70,fountain,-93.758214,41.5648958
71,bench,-93.7502069,41.5715501
72,cafe,-93.8048581,41.5696872
73,pharmacy,-93.7795765,41.5615095
74,fast_food,-93.7975152,41.5589012
75,pharmacy,-93.7969025,41.5584348
76,cafe,-93.7790712,41.5614296
77,pharmacy,-93.753947,41.5994156
78,pharmacy,-93.7537696,41.5981288
79,cafe,-93.8077527,41.5982762
80,pharmacy,-93.8072459,41.5982631
81,bank,-93.8075029,41.5982627
82,university,-93.7723948,41.594459
83,restaurant,-93.7380249,41.5952176
84,fast_food,-93.8116491,41.5678782
85,fast_food,-93.8110215,41.5670535
86,fountain,-93.8044694,41.5674205
87,fountain,-93.8042494,41.5670733
88,fountain,-93.8036325,41.5665214
89,fountain,-93.8025569,41.5659816
90,atm,-93.8079965,41.5886084
91,cafe,-93.7525655,41.5994547
92,kindergarten,-93.7379342,41.5986643
93,post_office,-93.7430168,41.6000283
