,amenity,longitude,latitude
0,school,-118.0411778,33.9861237
1,school,-118.0503447,33.9877904
2,school,-118.0224546,33.9561347
3,school,-118.0517337,33.9914015
4,school,-118.0278435,33.9641795
5,place_of_worship,-118.0406221,33.9814016
6,place_of_worship,-118.0400664,33.9739017
7,place_of_worship,-118.0436777,33.9758461
8,place_of_worship,-118.038122,33.9811237
9,place_of_worship,-118.0395109,33.980846
10,place_of_worship,-118.0378442,33.9827904
11,place_of_worship,-118.0347886,33.9805682
12,place_of_worship,-118.0347886,33.979457
13,place_of_worship,-118.0395109,33.9769571
14,place_of_worship,-118.034233,33.9805682
15,place_of_worship,-118.034797,33.9775454
16,place_of_worship,-118.0520116,33.9914015
17,place_of_worship,-117.9769444,33.9433333
18,place_of_worship,-117.9838889,33.9327778
19,place_of_worship,-117.9805556,33.9325
20,place_of_worship,-117.985,33.9330556
21,place_of_worship,-117.9772222,33.9341667
22,place_of_worship,-117.985,33.9444444
23,school,-118.0563886,33.9875016
24,place_of_worship,-118.0563889,33.9875
25,place_of_worship,-118.0488889,33.9886111
26,place_of_worship,-118.0458333,33.9877778
27,place_of_worship,-118.0425,33.9608333
28,place_of_worship,-118.0277778,33.9638889
29,place_of_worship,-118.0369444,33.9622222
30,place_of_worship,-118.0222222,33.9619444
31,place_of_worship,-118.0227778,33.9561111
32,place_of_worship,-118.0058333,33.9463889
33,fire_station,-118.048889,33.9824977
34,theatre,-118.0436498,33.9809107
35,fuel,-118.063985,33.9894323
36,fuel,-117.9885981,33.9421503
37,drinking_water,-118.057076,33.990826
38,parking_entrance,-118.0371306,33.9741665
39,theatre,-118.0348243,33.9726227
40,fast_food,-118.029002,33.9616563
41,bus_station,-117.998502,33.9451854
42,doctors,-118.0363486,33.9829462
43,restaurant,-118.0360047,33.9755775
44,vending_machine,-118.0477762,33.9702853
45,bus_station,-117.9958613,33.9443803
46,bicycle_parking,-117.9933976,33.9395252
47,fountain,-117.9974711,33.9437681
48,fountain,-118.0544547,33.9979437
49,toilets,-118.0006853,33.9660219
50,drinking_water,-118.0007165,33.9659984
51,shelter,-117.997387,33.9549022
52,shelter,-117.9972928,33.9548966
53,shelter,-117.9972047,33.9548711
54,shelter,-117.9971226,33.9548166
55,fast_food,-117.9846395,33.9405292
56,fast_food,-118.0204547,33.9565523
57,cafe,-118.0204381,33.9568382
58,fast_food,-118.0371062,33.9652969
59,fast_food,-118.037034,33.9652606
60,pharmacy,-118.0384711,33.9653351
61,pharmacy,-118.0535884,33.9818639
62,bicycle_parking,-118.0195967,33.9560497
63,restaurant,-117.9815655,33.9405052
64,food_sharing,-118.0375224,33.9771904
65,fast_food,-118.0505324,33.9822115
66,bench,-118.0375363,33.9742288
67,bench,-118.0376168,33.9744717
68,shelter,-118.0375369,33.9743831
69,bench,-118.0375352,33.974383
70,bench,-118.037554,33.9744725
71,waste_basket,-118.0375803,33.9745964
72,bench,-118.0375281,33.9745807
73,clock,-118.0375695,33.9745268
74,bench,-118.0376204,33.9745884
75,waste_basket,-118.0375179,33.9742154
76,waste_basket,-118.0375251,33.9743924
77,bench,-118.0375898,33.9744883
78,waste_basket,-118.0375878,33.974462
79,drinking_water,-118.0376568,33.974299
80,bench,-118.0375761,33.9745777
81,bench,-118.0375283,33.974489
82,shelter,-118.0375364,33.9742307
83,dentist,-118.0375484,33.9749878
84,fast_food,-117.989563,33.942564
85,fast_food,-117.9951613,33.9424095
86,fast_food,-117.9948431,33.9444275
87,fast_food,-117.9948264,33.9443999
88,fast_food,-117.9949014,33.9441479
89,fast_food,-117.9979951,33.944444
90,fast_food,-118.0115647,33.950826
91,fast_food,-118.0360656,33.9647193
92,fast_food,-118.0482544,33.966972
93,fast_food,-118.0491909,33.9812904
94,fast_food,-118.0564081,33.9990338
