,amenity,longitude,latitude
0,place_of_worship,-84.1743724,37.9931346
1,school,-84.1677056,38.0045233
2,place_of_worship,-84.1802059,37.9942456
3,school,-84.1765947,37.9903568
4,school,-84.1877062,37.9898011
5,school,-84.1796503,37.9956345
6,school,-84.1938174,38.0014677
7,place_of_worship,-84.1713168,37.997579
8,post_office,-84.176,37.9958
9,place_of_worship,-84.1786532,37.9904615
10,recycling,-84.1768383,37.9967572
11,restaurant,-84.2096007,37.9866665
12,veterinary,-84.1971321,37.9760115
13,cinema,-84.2109714,38.0098243
14,fast_food,-84.2071454,37.9883911
15,restaurant,-84.2062614,37.9881226
16,school,-84.1676803,38.0062324
17,fast_food,-84.2158648,38.0006715
18,restaurant,-84.2155141,38.0001986
19,fast_food,-84.2159459,37.9949546
20,post_office,-84.2160344,37.9949778
21,parking,-84.1887526,37.9837813
22,restaurant,-84.2130988,38.0028276
23,fast_food,-84.2142509,38.0082878
24,restaurant,-84.1962657,37.9765077
25,fast_food,-84.2088997,37.9871679
26,fuel,-84.2085102,37.9865796
27,bank,-84.2071651,37.9864189
28,loading_dock,-84.2151101,38.0021374
29,loading_dock,-84.2120714,37.9878653
30,loading_dock,-84.2109354,37.9869341
31,parking,-84.1956506,38.0030176
32,parking,-84.1949943,38.004024
33,restaurant,-84.2113211,38.0093228
34,pharmacy,-84.1792899,37.9916846
35,fuel,-84.1790055,37.9925035
36,fuel,-84.2100355,38.0064695
37,cafe,-84.2165916,37.9930296
38,fast_food,-84.2074164,38.0058976
39,fast_food,-84.2145586,38.0092658
40,place_of_worship,-84.1772035,37.9913498
41,place_of_worship,-84.1773546,37.9898439
42,place_of_worship,-84.1756874,37.9899042
43,restaurant,-84.2111036,38.00497
44,bench,-84.1957598,38.0014752
45,bench,-84.1956893,38.001468
46,bench,-84.1955945,38.0011093
47,bench,-84.1955623,38.0011037
48,waste_basket,-84.1955313,38.0011043
49,waste_basket,-84.1959341,38.0016019
50,waste_basket,-84.1959005,38.0016432
51,bicycle_parking,-84.1959233,38.0016153
52,bench,-84.196045,38.0013508
53,toilets,-84.1958425,38.0017084
54,drinking_water,-84.1955878,38.0011439
55,restaurant,-84.1767363,37.993603
56,fast_food,-84.2087303,37.9894256
57,place_of_worship,-84.2200461,37.9867483
58,bank,-84.212283,37.9894669
59,pharmacy,-84.2117867,37.9901395
60,bank,-84.2104249,37.9905936
61,fuel,-84.2098734,37.9900618
62,cafe,-84.1767612,37.9941647
63,bar,-84.1768721,37.9940327
64,dojo,-84.1769274,37.9938955
65,restaurant,-84.1777143,37.9915267
66,restaurant,-84.1775998,37.9925219
67,restaurant,-84.1778135,37.9921149
