,amenity,longitude,latitude
0,school,-76.5068095,37.2361746
1,restaurant,-76.5090355,37.2392374
2,bicycle_rental,-76.5092992,37.2391812
3,bench,-76.5183753,37.2393183
4,bench,-76.5183828,37.2392996
5,drinking_water,-76.5154851,37.2384736
6,toilets,-76.5154433,37.2384796
7,public_bookcase,-76.5085748,37.2382459
8,fountain,-76.5087246,37.2387737
9,bicycle_repair_station,-76.5074935,37.2379042
10,restaurant,-76.508586,37.2388841
11,shower,-76.5072305,37.2377879
12,bicycle_parking,-76.5074726,37.2379241
13,drinking_water,-76.5074625,37.2379481
14,toilets,-76.5089615,37.2383626
15,toilets,-76.5091654,37.2384822
