,amenity,longitude,latitude
0,school,-97.7454613,35.4943922
1,school,-97.761433,35.5022772
2,place_of_worship,-97.7083766,35.5217219
3,place_of_worship,-97.7233769,35.5203328
4,school,-97.7239322,35.5014445
5,school,-97.7344883,35.5228325
6,school,-97.7417109,35.4858063
7,school,-97.7344879,35.4922779
8,place_of_worship,-97.7600443,35.5236654
9,place_of_worship,-97.7247658,35.5244992
10,place_of_worship,-97.7553217,35.4936664
11,place_of_worship,-97.7522661,35.5058882
12,place_of_worship,-97.7567108,35.5081104
13,place_of_worship,-97.7480995,35.5103327
14,place_of_worship,-97.7522661,35.5078327
15,place_of_worship,-97.7430992,35.4969998
16,place_of_worship,-97.7442103,35.4972776
17,place_of_worship,-97.7530995,35.5058882
18,place_of_worship,-97.755044,35.5094992
19,place_of_worship,-97.7347658,35.5094995
20,place_of_worship,-97.7494884,35.5069993
21,place_of_worship,-97.7494884,35.5111659
22,place_of_worship,-97.7536549,35.4936664
23,place_of_worship,-97.7478215,35.5008885
24,place_of_worship,-97.7611552,35.5031105
25,place_of_worship,-97.7433769,35.4845002
26,place_of_worship,-97.7525438,35.4933886
27,place_of_worship,-97.7600443,35.5208877
28,school,-97.7592107,35.4994995
29,school,-97.7622662,35.4942219
30,school,-97.7617108,35.4997772
31,school,-97.7520674,35.4856821
32,place_of_worship,-97.7311605,35.4800601
33,bank,-97.7610489,35.4840767
34,bank,-97.7431231,35.4794922
35,fast_food,-97.7609008,35.489932
36,restaurant,-97.7552022,35.4827288
37,pharmacy,-97.759559,35.4938517
38,pharmacy,-97.7240841,35.497813
39,fuel,-97.7621232,35.4891258
40,post_office,-97.7609269,35.4958477
41,cafe,-97.7593288,35.484789
42,restaurant,-97.7596393,35.4814254
43,fast_food,-97.7608506,35.4807893
44,bank,-97.7575243,35.4840619
45,fuel,-97.7429855,35.5075464
46,car_wash,-97.7429238,35.505507
47,car_wash,-97.7421885,35.4927618
48,fuel,-97.742033,35.4931259
49,fast_food,-97.7437884,35.5085232
50,fuel,-97.7600105,35.5076935
51,fast_food,-97.7550801,35.5081958
52,fuel,-97.7391825,35.5081313
53,fuel,-97.7367618,35.5081362
54,car_wash,-97.7391375,35.5085208
55,fuel,-97.7608199,35.4895258
56,school,-97.7591915,35.4982847
57,restaurant,-97.7596639,35.482305
58,bench,-97.7238256,35.5029997
59,bench,-97.7238108,35.5030793
60,bench,-97.723629,35.503075
61,bench,-97.7236166,35.5029991
62,bench,-97.7475611,35.4906975
63,bench,-97.7476563,35.4907019
64,bench,-97.74948,35.4931738
65,fast_food,-97.7598278,35.4914896
66,fast_food,-97.759753,35.4915039
67,bench,-97.7634336,35.4839757
68,waste_basket,-97.7634255,35.483986
69,parking_space,-97.7633171,35.4816748
70,parking_space,-97.7632528,35.4816762
71,parking_space,-97.763254,35.4817348
72,parking_space,-97.7633136,35.4817348
73,parking_space,-97.7633183,35.4820383
74,parking_space,-97.763257,35.4820392
75,parking_space,-97.7632558,35.4821113
76,parking_space,-97.7633165,35.4821117
77,parking_space,-97.7632847,35.4823907
78,parking_space,-97.7633207,35.4823898
79,parking_space,-97.7633207,35.4824661
80,parking_space,-97.7632859,35.4824647
81,parking_space,-97.7631373,35.4827451
82,parking_space,-97.7631662,35.4827442
83,parking_space,-97.7631656,35.4828152
84,parking_space,-97.7632263,35.4828162
85,parking_space,-97.7632245,35.4827442
86,parking_space,-97.763257,35.4827446
87,parking_space,-97.763257,35.4828066
88,parking_space,-97.7633165,35.4827456
89,parking_space,-97.7633165,35.4828071
