RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-08-31,num_restaurant,num_bank,num_fast_food,num_cafe,num_place_of_worship,num_school,num_bicycle_rental,has_features
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1855.383087633088,817,118,684,183,930,76,41,True
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2514.25,2034,191,1158,615,713,343,126,True
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1244.9583333333333,1999,204,903,711,933,295,865,True
96361,14,91331,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3800.0,2034,191,1158,615,713,343,126,True
74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1738.9376893939395,283,27,173,68,759,193,11,True
96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2656.090909090909,2034,191,1158,615,713,343,126,True
84620,33,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1962.1366873706004,1999,204,903,711,933,295,865,True
96368,37,91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2994.444444444445,2034,191,1158,615,713,343,126,True
84639,41,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1581.4586894586894,1999,204,903,711,933,295,865,True
92341,42,78245,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1522.887520170263,328,24,342,76,605,166,65,True
96546,52,91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2899.959325396825,71,14,79,26,60,24,0,True
84646,58,60647,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2087.18830813482,1999,204,903,711,933,295,865,True
96690,61,92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2942.131884057971,1015,129,590,366,528,152,9,True
97567,71,94112,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3493.5454545454545,1681,188,397,722,139,74,118,True
84633,74,60632,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1359.7222222222224,1999,204,903,711,933,295,865,True
84619,79,60617,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1388.8624338624338,1999,204,903,711,933,295,865,True
89925,87,73099,zip,OK,OK,Yukon,"Oklahoma City, OK",Canadian County,1627.318253968254,3,3,6,1,23,11,0,True
74126,92,37042,zip,TN,TN,Clarksville,"Clarksville, TN-KY",Montgomery County,1453.003266359245,18,3,27,6,25,15,1,True
84610,99,60608,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1762.168867693813,1999,204,903,711,933,295,865,True
84627,106,60625,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1730.3771604938272,1999,204,903,711,933,295,865,True
96934,109,92592,zip,CA,CA,Temecula,"Riverside-San Bernardino-Ontario, CA",Riverside County,3255.4801819363224,69,4,44,16,2,5,0,True
84625,110,60623,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1410.2214452214455,1999,204,903,711,933,295,865,True
